chunk_id,chunk_index,document_id,section_id,toc_page_range,token_count,citation_string,text_preview
f8554a6c-0cf4-4ed0-8ce8-115e2bec45ca,0,712771_000143774925011656,preamble,,810,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 0",false 0000712771 DEF 14A 0000712771 2024-01-01 2024-12-31 thunderdome:item 0000712771 4 2024-01-01 2024-12-31 0000712771
9e307006-ce28-4189-b5cf-5c07ff65c321,1,712771_000143774925011656,preamble,,678,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 1","UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 SCHEDULE 14A Proxy Statement Pursuant to Section"
420bbf52-c44d-4b23-a4e0-18c43c29b0c9,2,712771_000143774925011656,preamble,,1196,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 2",". Because the Annual Meeting is virtual and being conducted via live webcast, shareholders will not be able to attend th"
d2231af2-9581-49fd-ac5b-271a658df8a7,3,712771_000143774925011656,preamble,,1173,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 3",. The webcast starts at 9:15 a.m. We encourage you to access the meeting prior to the start time. If you encounter any d
b1c24d1d-7d42-402e-974f-86327eee6d97,4,712771_000143774925011656,preamble,,1175,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 4",. The Board’s recommendation is set forth together with the description of each item in this Proxy Statement. In summary
21903fb4-174b-4b88-98c7-59cc97d259d0,5,712771_000143774925011656,preamble,,1157,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 5",. The Board of Directors has determined that the Board as a whole must have the right mix of characteristics and skills 
470c5b53-6b92-4f6c-a5d7-44e3c6422f46,6,712771_000143774925011656,preamble,,1189,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 6",". The Board of Directors of the Company has nominated for election to the Board of Directors the persons named below, ea"
a65df408-f6a4-48ee-b004-b9131ecbc9c4,7,712771_000143774925011656,preamble,,1173,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 7",". Magennis became President of the Bank in December of 2020, having previously served as the Bank’s Executive Vice Presi"
11bc800d-88a8-47ab-83ba-d8680f279d64,8,712771_000143774925011656,preamble,,1187,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 8",". In addition, he serves as the President of Payserv Corporation, a payroll processing and human resource management com"
0f3cce67-82ae-4ab8-83e1-315ee6bb1134,9,712771_000143774925011656,preamble,,1188,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 9",". Sorrentino’s spouse in her IRA Account. (2) Includes (i) 272,133 held by an irrevocable trust for benefit of Mr. Boswe"
f5fa479f-95c7-40ef-b4b1-41a33bf3653b,10,712771_000143774925011656,preamble,,1197,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 10",. A majority of the Board consists of individuals who are “independent” under the NASDAQ listing standards. In making th
76ec2997-c4c8-4251-9ac3-273004173ed6,11,712771_000143774925011656,preamble,,1069,"ConnectOne Bancorp, Inc. | DEF 14A | 2025-04-11 | preamble | chunk 11",. 16 The Audit and Risk Committee meets periodically to consider the adequacy of the Company’s financial controls and th
